##########################
#   Consultation         #
##########################
child(ren);linked child(ren)
'%value%' is no valid sitemap location;'%value%' is no valid sitemap location
'%value%' is no valid sitemap priority;'%value%' is no valid sitemap priority
'%value%' is not between '%min%' and '%max%', inclusively;'%value%' is not between '%min%' and '%max%', inclusively
'%value%' is not from an allowed institute;'%value%' is not from an allowed institute
'%value%' is not greater than '%min%';'%value%' is not greater than '%min%'
'%value%' is not less than '%max%';'%value%' is not less than '%max%'
'%value%' is not strictly between '%min%' and '%max%';'%value%' is not strictly between '%min%' and '%max%'
'%value%' is not valid;'%value%' is not valid
'%value%' must contain between 13 and 19 digits;'%value%' must contain between 13 and 19 digits
'%value%' must contain only digits;'%value%' must contain only digits
'%value%' seems to be an invalid creditcard number;'%value%' seems to be an invalid creditcard number
'%value%' seems to contain an invalid checksum;'%value%' seems to contain an invalid checksum
'%value%' should have a length of %length% characters;'%value%' should have a length of %length% characters
'%value%' was not found in the haystack;'%value%' was not found in the haystack
A PHP extension returned an error while uploading the file '%value%';A PHP extension returned an error while uploading the file '%value%'
A crc32 hash could not be evaluated for the given file;A crc32 hash could not be evaluated for the given file
A hash could not be evaluated for the given file;A hash could not be evaluated for the given file
A md5 hash could not be evaluated for the given file;A md5 hash could not be evaluated for the given file
A record matching '%value%' was found;A record matching '%value%' was found
A sha1 hash could not be evaluated for the given file;A sha1 hash could not be evaluated for the given file
An exception has been raised within the callback;An exception has been raised within the callback
An exception has been raised while validating '%value%';An exception has been raised while validating '%value%'
All files in sum should have a maximum size of '%max%' but '%size%' were detected;All files in sum should have a maximum size of '%max%' but '%size%' were detected
All files in sum should have a minimum size of '%min%' but '%size%' were detected;All files in sum should have a minimum size of '%min%' but '%size%' were detected
File '%value%' can't be written;File '%value%' can't be written
File '%value%' does not exist;File '%value%' does not exist
File '%value%' does not match the given crc32 hashes;File '%value%' does not match the given crc32 hashes
File '%value%' does not match the given hashes;File '%value%' does not match the given hashes
File '%value%' does not match the given md5 hashes;File '%value%' does not match the given md5 hashes
File '%value%' does not match the given sha1 hashes;File '%value%' does not match the given sha1 hashes
File '%value%' exceeds the defined form size;File '%value%' exceeds the defined form size
File '%value%' exceeds the defined ini size;File '%value%' exceeds the defined ini size
File '%value%' exists;File '%value%' exists
File '%value%' has a false extension;File '%value%' has a false extension
File '%value%' has a false mimetype of '%type%';File '%value%' has a false mimetype of '%type%'
File '%value%' is no image, '%type%' detected;File '%value%' is no image, '%type%' detected
File '%value%' is not compressed, '%type%' detected;File '%value%' is not compressed, '%type%' detected
File '%value%' is not readable or does not exist;File '%value%' is not readable or does not exist
File '%value%' was illegally uploaded. This could be a possible attack;File '%value%' was illegally uploaded. This could be a possible attack
File '%value%' was not found;File '%value%' was not found
File '%value%' was not uploaded;File '%value%' was not uploaded
File '%value%' was only partially uploaded;File '%value%' was only partially uploaded
Invalid type given. Numeric string, integer or float expected;Invalid type given. Numeric string, integer or float expected
Invalid type given. String expected;Invalid type given. String expected
Invalid type given. String or integer expected;Invalid type given. String or integer expected
Invalid type given. String, integer, array or Zend_Date expected;Invalid type given. String, integer, array or Zend_Date expected
Invalid type given. String, integer, float, boolean or array expected;Invalid type given. String, integer, float, boolean or array expected
Invalid type given. String, integer or float expected;Invalid type given. String, integer or float expected
Luhn algorithm (mod-10 checksum) failed on '%value%';Luhn algorithm (mod-10 checksum) failed on '%value%'
Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected;Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected
Maximum allowed size for file '%value%' is '%max%' but '%size%' detected;Maximum allowed size for file '%value%' is '%max%' but '%size%' detected
Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected;Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected
Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected;Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected
Minimum expected size for file '%value%' is '%min%' but '%size%' detected;Minimum expected size for file '%value%' is '%min%' but '%size%' detected
Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected;Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected
No record matching '%value%' was found;No record matching '%value%' was found
No temporary directory was found for file '%value%';No temporary directory was found for file '%value%'
No token was provided to match against;No token was provided to match against
One or more files can not be read;One or more files can not be read
The mimetype of file '%value%' could not be detected;The mimetype of file '%value%' could not be detected
The size of image '%value%' could not be detected;The size of image '%value%' could not be detected
The two given tokens do not match;The two given tokens do not match
There was an internal error while using the pattern '%pattern%';There was an internal error while using the pattern '%pattern%'
Too few files, minimum '%min%' are expected but '%count%' are given;Too few files, minimum '%min%' are expected but '%count%' are given
Too less words, minimum '%min%' are expected but '%count%' were counted;Too less words, minimum '%min%' are expected but '%count%' were counted
Too many files, maximum '%max%' are allowed but '%count%' are given;Too many files, maximum '%max%' are allowed but '%count%' are given
Too much words, maximum '%max%' are allowed but '%count%' were counted;Too much words, maximum '%max%' are allowed but '%count%' were counted
Unknown country within the IBAN '%value%';Unknown country within the IBAN '%value%'
Unknown error while uploading file '%value%';Unknown error while uploading file '%value%'
Value is required and can't be empty;Value is required and can't be empty
notMatch;Password confirmation does not match
userNotExist;This login doesn't exist
userExist;This login already exist
Incorrect password;Incorrect password

##########################
#   Layout               #
##########################
Log out;Log out
Log in;Log in
Change login;Change login
Legal notices;Legal notices
Geoportail Copyrights;Geoportail Copyrights
MNHN Copyrights;MNHN Copyrights
GINCO, development version;GINCO, development version
branch;branch
published online the;published online the
Layout Head Title;GINCO
Layout Head Meta Keywords;GINCO, SINP
Layout Head Meta Description;Plateforme régionale ou thématique GINCO
Layout Pathway Home;Home
Translate this site fr;Translate this site in french
Translate this site en;Translate this site in english
Welcome ;Welcome

##########################
#	Error				 #
##########################
An error occurred;An error occurred
Page not found;Page not found
Database Error;Database Error
Application error;Application error

﻿##########################
#   Index                #
##########################
Select a menu;Select a menu
Welcome;Welcome to the OGAM web site !

Administration;Administration
Harmonized Datas;Harmonized Datas
Source Data;Source Data

Data Integration;Data Integration
Data Edition;Data Edition
Visualize Raw Data;Visualize Raw Data
Query Data (RAW_DATA);Visualize Raw Data
Query Data (HARMONIZED_DATA);Visualize Validated Data
Data Harmonization;Data Copy
Visualize Harmonized Data;Visualize Validated Data
Query Harmonized Data;Visualize Validated Data
User Administration;User Administration
Check Configuration;Check the configuration
Manage Users;User Administration
Index Files;Index Files
File Indexation;Index Files
Configure metamodel;Metamodel configuration
Visualize metadata;Visualize metadata

﻿##########################
#   User login           #
##########################
User Module;User Module
Authentication;Authentication
Login;Login
Password;Password
InvalidPassword;Invalid password

﻿##########################
#  Data integration      #
##########################
Data integration module;Data integration module
Submit Data;Submit Data
Submission ID;Submission ID
Date;Date
Provider Id;Provider Id
Provider of the dataset;Provider of the dataset
User;User
Dataset;Dataset
Step;Step
Status;Status
File;File
Lines;Lines
Actions;Actions
Create data submission;Create data submission
Upload Data;Upload Data
Check data;Check data
Show report;Show report
Validate data;Validate submission
Cancel Submission;Cancel submission
Publish data;Publish data
Sensibility Report;Sensibility Report
Permanent Ids Report;Permanent Ids Report
Confirm_submission_warning;Once validated the data will be available for consultation and GML export for all users. Do you confirm?
Unpublish data;Unpublish data
Unpublish_submission_warning;Once invalidated the data will no longer be available for consultation and GML export for users. Do you confirm?
Submit;Submit
Error;Error
The expected fields are:;The expected fields are:
Are you sure?;Are you sure?
No submission found;No submission found
Taxon occurrence;Taxon occurrence
Observation taxon MNHN;Observation taxon MNHN
Observation taxon IGN;Observation taxon IGN
Observation taxon plateforme thématique;Observation taxon plateforme thématique
données flore de l'IGN: ;données flore de l'IGN :
Fichier observation taxon IGN: ;Fichier observation taxon IGN :
Fichier observation taxon IGN :;Fichier observation taxon IGN :
Fichier observation taxon MNHN: ;Fichier observation taxon MNHN:
Fichier observation taxon MNHN :;Fichier observation taxon MNHN :
Fichier observation principal: ;Fichier observation principal:
Fichier commune optionnel: ;Fichier commune optionnel:
Fichier maille optionnel: ;Fichier maille optionnel:
Fichier SIG optionnel: ;Fichier SIG optionnel:
You must select all files to upload;You must select a file to upload
<span class="hint-title">;<span class="hint-title">
Sensibility report;Sensibility report
Number of sensible data;Number of sensible data
Total number of data in the submission;Total number of data in the submission
Download a file model for;Download a file model for
Export to GML;Export to GML
Spatial reference system (SRID);Spatial reference system (SRID)
sridDescription;In the form of EPSG code. For example: <ul><li>WGS 84 : 4326</li><li>Lambert-93 : 2154</li><li>UTM 20 N : 32620</li><li>UTM 22 N : 2972</li><li>UTM 40 S : 2975</li><li>UTM 38 S : 4471</li></ul>See <a href='http://www.epsg-registry.org/' target='_blank'>EPSG Geodetic Parameter Registry</a>.
Download submissions list;Download submissions list
No published datasets for this data model;No published datasets for this data model

﻿##########################
#  Data Copy             #
##########################
Data harmonization module;Data copy
Harmonize Data;Copy Data
Back;Back
Launch Harmonization;Launch Copy
Remove Harmonization Data;Remove Harmonization Data
Harmonization Date;Copy Date
Confirm harmonization;Warning, this will delete and recreate all data for this data provider in the harmonized database.
Confirm harmonization data deletion;Warning, this will delete all data for this data provider in the harmonized database.

##########################
#  Check configuration   #
##########################
Check result;Check result
PHP Parameters;PHP Parameters
Error: %value% minimum;Error: %value% minimum
Expected value;Expected value
Database;Database
Checking for missing schemas:;Checking for missing schemas:
The schema '%s' described in the metadata doesn't exist in the system.;The schema '%s' described in the metadata doesn't exist in the system.
Checking for missing tables:;Checking for missing tables:
The expected table '%s' of the schema '%s' is not found.;The expected table '%s' of the schema '%s' is not found.
The PK (%s) of the table '%s' is not compatible with the metadata PK (%s).;The PK (%s) of the table '%s' is not compatible with the metadata PK (%s).
Checking for primary keys:;Checking for primary keys:
Checking for missing fields:;Checking for missing fields:
Checking field types:;Checking field types:
The Expected data '%s' of the table '%s' of the schema '%s' is not found.;The Expected data '%s' of the table '%s' of the schema '%s' is not found.
The field '%s' of the table '%s' of the schema '%s' is of type '%s' which is incompatible with the metadata definition: '%s'.;The field '%s' of the table '%s' of the schema '%s' is of type '%s' which is incompatible with the metadata definition: '%s'.
Unknow field type for the data '%s' of the table '%s' of the schema '%s'.;Unknow field type for the data '%s' of the table '%s' of the schema '%s'.
Checking foreign keys:;Checking foreign keys:
The foreign key between the table '%s' and the table '%s' described in the metadata doesn't exist in the system.;The foreign key between the table '%s' and the table '%s' described in the metadata doesn't exist in the system.
The foreign key '%s' between the table '%s' and the table '%s' does not match the metadata definition: '%s'.;The foreign key '%s' between the table '%s' and the table '%s' does not match the metadata definition: '%s'.
Note: The database user must have administration rights to perform these tests.;Note: The database user must have administration rights to perform these tests.

##########################
# Mapping                #
##########################
empty_layer;No layer

##########################
#  User Management       #
##########################
User Management Module;User Management Module
Show the users;Show the users
Show the roles;Show the roles
Change Password;Change Password
Password Change;Password Change
Password Change for user:;Password Change for user:
Create Role;Create Role
Changing your password;Changing your password
Create User;Create User
Edit Role;Role edition
Edit User;User edition
Roles;Roles
Users;Users
User Login;User Login
User Name;User Name
Provider;Provider
Email;Email
Role;Role
Delete;Delete
Edit;Edit
Code;Code
Label;Label
Definition;Definition
Old Password;Old Password
New Password;New Password
Confirm Password;Confirm New Password
Password does not match confirmation;Password does not match confirmation
Old password is not correct;Old password is not correct
passwordRequirement;Your password must contain 8 characters, one lower case, one upper case, a number and a special character beetween @$!%*?&.
Role Code;Role Code
Role Label;Role Label
Role Definition;Role Definition
Permissions;Permissions
ManageRequestPermissionError;To manage public requests, manage private requests must be checked.
Schemas Permissions;Schemas Permissions
Dataset Restrictions;Dataset Restrictions
Layer Restrictions;Layer Restrictions

# User Rights
Manage users;Manage users
Provide data;Provide data
Visualise data;Visualise data
Visualise data from other provider;Visualise data from other provider
Launch the harmonization process;Launch the harmonization process
Export the raw data as a CSV file;Export the raw data as a CSV file
Add / Update / Delete data;Add / Update / Delete data
Add / Update / Delete data from another provider;Add / Update / Delete data from another provider
Check the configuration;Check the configuration
Cancel validated submission;Cancel validated submission
Cancel other provider submission;Cancel other provider submission

# Schemas
Harmonized Data;Harmonized Data
Raw Data;Raw Data


##########################
#  Data Edition          #
##########################
No %value% found.;No %value% found.
Invalid form;Invalid form
Data saved;Data saved - Reloading
Item cannot be deleted because it has children;Item cannot be deleted because it has children
Error while deleting data;Error while deleting data
Error inserting data duplicate key;Error while inserting data - The data already exists
Data deleted;Data deleted
Add a new localisation;Add a new localisation

##########################
#  Data Query            #
##########################
Data Export;Data Export
Request Criterias;Request Criterias

##########################
#  Configuration         #
##########################
contactEmailLabel;Contact email:
contactEmailDescription;Enter an email address or a list of emails separated by commas.
Platform Parameters Configuration;Platform Parameters Configuration
Platform parameters;Platform parameters
Email(s) invalide(s) : '%value%';Invalid(s) email(s): '%value%'
contactEmailConfirmation;The contact mail has been saved. You can check by sending a test mail on the <a href="/contact">Contact</a> page.

##########################
#  Contact               #
##########################
contactFromEmail;Your email address:
Message;Your message:
Send;Send
contactEmailSend;Thanks, your message has been sent to the site administrators.
Contact;Contact

################################
#  Fil d'ariane (Breadcrumb)   #
################################
Breadcrumb Home;Home
Breadcrumb Integration;Data integration
Breadcrumb Integration New;Create data submission
Breadcrumb Visualization;Visualize data
Breadcrumb Harmonization;Harmonize data
Breadcrumb Edition;Data edition
Breadcrumb Edit Data;Edit observation
Breadcrumb Add Data;Add observation
Breadcrumb User;My account
Breadcrumb Check Configuration;Check the configuration
Breadcrumb Users Administration;Users Administration
Breadcrumb Users;Users
Breadcrumb Add User;Add user
Breadcrumb Edit User;Edit user
Breadcrumb Change Password;Change password
Breadcrumb Roles;Roles
Breadcrumb Edit Role;Edit role
Breadcrumb Add Role;Add role
Breadcrumb Providers;Providers
Breadcrumb Providers Details;Details and data
Breadcrumb Edit Provider;Edit provider
Breadcrumb Add Provider;Add provider
Breadcrumb Configuration Parameters;Platform Parameters Configuration
