data;format;column_name;is_calculated;is_editable;is_insertable;is_mandatory;position;comment;default_value
abondancehabitat;table_habitat;abondancehabitat;0;1;1;0;9;;
identifiantorigine;table_habitat;identifiantorigine;0;1;1;0;10;;
precisiontechnique;table_habitat;precisiontechnique;0;1;1;0;11;;
releveespeces;table_habitat;releveespeces;0;1;1;0;12;;
relevephyto;table_habitat;relevephyto;0;1;1;0;13;;
sensibilitehab;table_habitat;sensibilitehab;0;1;1;0;14;;
OGAM_ID_table_habitat;table_habitat;ogam_id_table_habitat;1;0;0;1;15;;
SUBMISSION_ID;table_habitat;submission_id;1;0;0;0;16;;
PROVIDER_ID;table_habitat;provider_id;0;0;0;1;17;;
USER_LOGIN;table_habitat;user_login;0;0;0;1;18;;
clestation;table_habitat;clestation;0;1;1;1;19;;
habitatinteretcommunautaire;table_habitat;habitatinteretcommunautaire;0;1;1;0;20;;
cdhabinteretcommunautaire;table_habitat;cdhabinteretcommunautaire;0;1;1;0;21;;
identifiantstasinp;table_station;identifiantstasinp;1;0;0;1;1;;
jddmetadonneedeeid;table_station;jddmetadonneedeeid;1;0;0;1;2;;
dspublique;table_station;dspublique;1;1;1;1;3;;
referencebiblio;table_station;referencebiblio;0;1;1;0;4;;
identifiantoriginestation;table_station;identifiantoriginestation;0;1;1;0;5;;
jourdatedebut;table_station;jourdatedebut;0;1;1;1;6;;
jourdatefin;table_station;jourdatefin;0;1;1;1;7;;
dateimprecise;table_station;dateimprecise;0;1;1;0;8;;
observateur;table_station;observateur;0;1;1;1;9;;
nomstation;table_station;nomstation;0;1;1;0;10;;
estcomplexehabitats;table_station;estcomplexehabitats;0;1;1;0;11;;
exposition;table_station;exposition;0;1;1;0;12;;
altitudemin;table_station;altitudemin;0;1;1;0;13;;
altitudemax;table_station;altitudemax;0;1;1;0;14;;
altitudemoyenne;table_station;altitudemoyenne;0;1;1;0;15;;
profondeurmin;table_station;profondeurmin;0;1;1;0;16;;
profondeurmax;table_station;profondeurmax;0;1;1;0;17;;
profondeurmoyenne;table_station;profondeurmoyenne;0;1;1;0;18;;
surface;table_station;surface;0;1;1;0;19;;
methodecalculsurface;table_station;methodecalculsurface;1;1;1;1;20;;
usage;table_station;usage;0;1;1;0;21;;
typesol;table_station;typesol;0;1;1;0;22;;
geologie;table_station;geologie;0;1;1;0;23;;
acidite;table_station;acidite;0;1;1;0;24;;
commentaire;table_station;commentaire;0;1;1;0;25;;
geometrie;table_station;geometrie;1;1;1;1;26;;
natureobjetgeo;table_station;natureobjetgeo;1;1;1;1;27;;
precisiongeometrie;table_station;precisiongeometrie;0;1;1;0;28;;
echellenumerisation;table_station;echellenumerisation;0;1;1;0;29;;
codecommune;table_station;codecommune;0;1;1;0;30;;
codedepartement;table_station;codedepartement;0;1;1;0;31;;
codemaille;table_station;codemaille;0;1;1;0;32;;
typeinfogeocommune;table_station;typeinfogeocommune;0;1;1;0;33;;
typeinfogeodepartement;table_station;typeinfogeodepartement;0;1;1;0;34;;
typeinfogeomaille;table_station;typeinfogeomaille;0;1;1;0;35;;
codemaillecalcule;table_station;codemaillecalcule;1;0;1;0;36;;
codecommunecalcule;table_station;codecommunecalcule;1;0;1;0;37;;
nomcommunecalcule;table_station;nomcommunecalcule;1;0;1;0;38;;
codedepartementcalcule;table_station;codedepartementcalcule;1;0;1;0;39;;
OGAM_ID_table_station;table_station;ogam_id_table_station;1;0;0;1;40;;
SUBMISSION_ID;table_station;submission_id;1;0;0;0;41;;
PROVIDER_ID;table_station;provider_id;0;0;0;1;42;;
USER_LOGIN;table_station;user_login;0;0;0;1;43;;
clestation;table_station;clestation;0;1;1;1;44;;
