cd_nom,num_version_init,num_version_final,champ,valeur_init,valeur_final,type_change,cd_nom_remplacement,cd_raison_suppression
705882,10.0,11.0,CD_REF,705882,886096,MODIFICATION,,
621351,10.0,11.0,CD_REF,611065,106252,MODIFICATION,,
433750,10.0,11.0,CD_NOM,433750,,RETRAIT,,
734983,10.0,11.0,CD_REF,734983,734982,MODIFICATION,,
766070,10.0,11.0,CD_REF,733177,733179,MODIFICATION,,
765433,10.0,11.0,CD_REF,732864,765432,MODIFICATION,,
769064,10.0,11.0,CD_REF,734668,841581,MODIFICATION,,
192726,10.0,11.0,CD_NOM,192726,,RETRAIT,,
649421,10.0,11.0,CD_REF,649421,850775,MODIFICATION,,
687783,10.0,11.0,CD_REF,656246,543000,MODIFICATION,,
622806,10.0,11.0,CD_REF,622806,241070,MODIFICATION,,
